Timestamp, TargetID, X_mm,Y_mm, IsConfirmedHuman
70687,0,1015,1618,1910,0,1

70687,1,290,258,388,0,1

70776,0,1012,1627,1916,0,1

70776,1,299,256,394,8,1

70865,0,1010,1635,1922,0,1

70865,1,311,268,411,8,1

70954,0,1007,1643,1927,0,1

70954,1,303,250,393,0,1

71043,0,1004,1651,1932,0,1

71043,1,314,269,413,0,1

71132,0,1002,1659,1938,0,1

71132,1,330,253,416,0,1

71221,0,999,1667,1943,0,1

71221,1,330,241,409,-8,1

71310,0,993,1673,1946,-16,1

71310,1,320,247,404,0,1

71399,0,960,1670,1926,0,1

71399,1,288,253,383,0,1

71488,0,860,1669,1878,0,1

71488,1,268,243,362,8,1

71577,0,759,1666,1831,0,1

71577,1,266,278,385,-16,1

71666,0,564,1658,1751,0,1

71666,1,269,316,415,-24,1

71755,0,390,1648,1694,0,1

71755,1,258,346,432,-48,1

71844,0,237,1639,1656,0,1

71844,1,263,349,437,0,1

71933,0,83,1630,1632,0,1

71933,1,286,334,440,0,1

72022,0,-56,1622,1623,0,1

72022,1,312,341,462,0,1

72111,0,-181,1614,1624,0,1

72111,1,329,338,472,0,1

72200,0,-289,1607,1633,0,1

72200,1,336,335,474,0,1

72289,0,-383,1601,1646,0,1

72289,1,331,341,475,8,1

72378,0,-463,1596,1662,0,1

72378,1,300,358,467,32,1

72467,0,-531,1592,1678,0,1

72467,1,253,400,473,-8,1

72556,0,-588,1588,1693,0,1

72556,1,193,421,463,-88,1

72645,0,-613,1587,1701,0,1

72645,1,142,419,442,-119,1

72734,0,-635,1585,1707,0,1

72734,1,115,407,423,0,1

72823,0,-642,1587,1712,0,1

72823,1,146,376,403,0,1

72912,0,-596,1614,1721,0,1

72912,1,193,372,419,-8,1

73001,0,-576,1626,1725,0,1

73001,1,243,364,438,0,1

73090,0,-556,1638,1730,0,1

73090,1,278,360,455,-8,1

73179,0,-537,1649,1734,0,1

73179,1,308,356,471,0,1

73268,0,-519,1660,1739,0,1

73268,1,322,351,476,-8,1

73357,0,-501,1671,1744,0,1

73357,1,324,333,465,0,1

73446,0,-485,1681,1750,0,1

73446,1,327,329,464,0,1

73535,0,-468,1691,1755,0,1

73535,1,327,339,471,0,1

73624,0,-452,1700,1759,0,1

73624,1,327,334,467,0,1

73713,0,-437,1709,1764,0,1

73713,1,337,334,474,0,1

73802,0,-422,1718,1769,0,1

73802,1,345,334,480,0,1

73891,0,-408,1727,1775,0,1

73891,1,348,329,479,0,1

73980,0,-395,1735,1779,0,1

73980,1,354,339,490,0,1

74069,0,-381,1743,1784,0,1

74069,1,368,323,490,-8,1

74158,0,-362,1751,1788,0,1

74158,1,370,304,479,0,1

74247,0,-342,1760,1793,0,1

74247,1,358,280,454,0,1

74336,0,-322,1768,1797,0,1

74336,1,349,272,442,0,1

74425,0,-303,1776,1802,0,1

74425,1,344,277,442,0,1

74514,0,-284,1783,1805,0,1

74514,1,342,273,438,8,1

74603,0,-266,1791,1811,0,1

74603,1,339,261,428,0,1

74692,0,-249,1798,1815,0,1

74692,1,330,255,417,0,1

74781,0,-232,1805,1820,0,1

74781,1,330,267,424,0,1

74870,0,-216,1811,1824,0,1

74870,1,333,254,419,0,1

74959,0,-201,1818,1829,0,1

74959,1,328,287,436,0,1

75048,0,-186,1824,1833,0,1

75048,1,301,288,417,-24,1

75137,0,-171,1830,1838,0,1

75137,1,268,294,398,-24,1

75226,0,-157,1836,1843,0,1

75226,1,229,284,365,8,1

75315,0,-144,1841,1847,0,1

75315,1,198,276,340,8,1

75404,0,-131,1847,1852,0,1

75404,1,184,280,335,0,1

75493,0,-119,1852,1856,0,1

75493,1,184,260,319,-8,1

75582,0,-119,1852,1856,0,1

75582,1,198,263,329,0,1

75671,0,-119,1852,1856,0,1

75671,1,204,249,322,-32,1

75760,0,-119,1852,1856,0,1

75760,1,199,263,330,0,1

75849,0,-119,1852,1856,0,1

75849,1,225,275,355,0,1

75938,0,-119,1852,1856,0,1

75938,1,238,308,389,-8,1

76027,0,-119,1852,1856,0,1

76027,1,239,320,399,0,1

76116,0,-119,1852,1856,0,1

76116,1,261,319,412,0,1

76205,0,-119,1852,1856,0,1

76205,1,304,298,426,0,1

76294,0,-118,1863,1867,0,1

76294,1,350,297,459,0,1

76383,0,-120,1874,1878,0,1

76383,1,388,290,484,0,1

76472,0,-121,1885,1889,0,1

76472,1,398,297,497,0,1

76561,0,-122,1896,1900,0,1

76561,1,399,295,496,0,1

76650,0,-123,1906,1910,0,1

76650,1,394,317,506,-8,1

76739,0,-124,1916,1920,0,1

76739,1,391,314,501,0,1

76828,0,-125,1926,1930,0,1

76828,1,370,297,474,-48,1

76917,0,-129,1930,1934,0,1

76917,1,333,282,436,-16,1

77006,0,-135,1932,1937,0,1

77006,1,293,271,399,0,1

77095,0,-140,1935,1940,0,1

77095,1,255,263,366,16,1

77184,0,-145,1937,1942,0,1

77184,1,229,252,341,8,1

77273,0,-150,1939,1945,0,1

77273,1,208,245,321,-16,1

77362,0,-154,1941,1947,0,1

77362,1,192,239,307,-24,1

77451,0,-158,1943,1949,0,1

77451,1,170,241,295,-48,1

77540,0,-163,1945,1952,0,1

77540,1,146,256,295,-48,1

77629,0,-167,1947,1954,0,1

77629,1,148,252,292,56,1

77718,0,-171,1949,1956,0,1

77718,1,150,266,305,0,1

77807,0,-175,1951,1959,0,1

77807,1,177,275,327,0,1

77896,0,-178,1952,1960,0,1

77896,1,217,290,362,0,1

77985,0,-182,1954,1962,0,1

77985,1,237,304,385,8,1

78074,0,-185,1956,1965,0,1

78074,1,251,309,398,0,1

78163,0,-189,1957,1966,0,1

78163,1,269,319,417,0,1

78252,0,-192,1959,1968,0,1

78252,1,281,320,426,0,1

78341,0,-192,1959,1968,0,1

78341,1,297,318,435,0,1

78430,0,-192,1959,1968,0,1

78430,1,307,324,446,0,1

78519,0,-192,1959,1968,0,1

78519,1,314,318,447,0,1

78608,0,-192,1959,1968,0,1

78608,1,321,301,440,-8,1

78697,0,-192,1959,1968,0,1

78697,1,326,292,438,0,1

78786,0,-192,1959,1968,0,1

78786,1,331,314,456,0,1

78875,0,-192,1959,1968,0,1

78875,1,323,316,452,0,1

78964,0,-192,1959,1968,0,1

78964,1,306,325,446,16,1

79053,0,-192,1959,1968,0,1

79053,1,303,334,451,0,1

79142,0,-192,1959,1968,0,1

79142,1,325,332,465,0,1

79231,0,-192,1959,1968,0,1

79231,1,345,337,482,8,1

79320,0,-192,1959,1968,0,1

79320,1,368,357,513,0,1

79409,0,-192,1959,1968,0,1

79409,1,385,354,523,0,1

79498,0,-192,1959,1968,0,1

79498,1,380,358,522,0,1

79587,0,-192,1959,1968,0,1

79587,1,353,362,506,0,1

79676,0,-192,1959,1968,0,1

79676,1,325,342,472,-39,1

79765,0,-192,1959,1968,0,1

79765,1,292,338,447,-39,1

79854,0,-192,1959,1968,0,1

79854,1,233,323,398,79,1

79943,0,-192,1959,1968,0,1

79943,1,186,325,374,-72,1

80032,0,-233,1943,1957,0,1

80032,1,165,311,352,-16,1

80121,0,-279,1929,1949,8,1

80121,1,173,298,345,-8,1

80210,0,-329,1909,1937,0,1

80210,1,185,288,342,-16,1

80299,0,-382,1887,1925,0,1

80299,1,202,278,344,16,1

80388,0,-432,1866,1915,0,1

80388,1,217,274,350,24,1

80477,0,-481,1845,1907,0,1

80477,1,234,271,358,0,1

80566,0,-528,1826,1901,0,1

80566,1,248,266,364,-24,1

80655,0,-573,1806,1895,0,1

80655,1,252,261,363,-39,1

80744,0,-617,1788,1891,0,1

80744,1,245,264,360,8,1

80833,0,-659,1770,1889,0,1

80833,1,222,277,355,96,1

80922,0,-700,1753,1888,0,1

80922,1,210,304,369,0,1

81011,0,-740,1736,1887,0,1

81011,1,229,336,407,0,1

81100,0,-778,1720,1888,0,1

81100,1,252,384,459,0,1

81189,0,-814,1705,1889,0,1

81189,1,285,409,499,0,1

81278,0,-850,1690,1892,0,1

81278,1,310,399,505,0,1

81367,0,-884,1675,1894,0,1

81367,1,351,398,531,0,1

81456,0,-917,1662,1898,0,1

81456,1,372,400,546,0,1

81545,0,-948,1648,1901,0,1

81545,1,381,392,547,0,1

81634,0,-948,1648,1901,0,1

81634,1,390,390,552,0,1

81723,0,-948,1648,1901,0,1

81723,1,395,379,547,-8,1

81812,0,-948,1648,1901,0,1

81812,1,399,372,546,0,1

